,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,f1_score,positive_likelyhood_ratio,accuracy,miss_rate,balanced_accuracy,fall_out,precision,false_discovery_rate,matthews_correlation_coefficient,markedness,diagnostic_odds_ratio,threat_score,negative_likelyhood_ratio,recall,negative_predictive_value,fowlkes_mallows_index,informedness,prevalence_threshold,prevalence,specificity,false_omission_rate,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000005282769016,1.0,True,0.22240300193272539,1.0042689104224831,0.5003037590178459,0.8570802815273796,0.5003037590178459,0.14231220043692872,0.5010649545079215,0.49893504549207845,0.000868675190742435,0.0012420974237452587,1.0049807591126418,0.12511441129487572,0.9992916792846988,0.14291971847262042,0.5001771429158237,0.26760430159989673,0.0006075180356917009,0.49946752214214374,0.5,0.8576877995630713,0.4998228570841763,0.6307493483567614,0.5804364373379242,5.67852783203125,1.021702766418457,1730551402.0036159,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.2352395057678223,0.003101825714111328,1.0013580322265625e-05,2.384185791015625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.15148546943398647,0.6576465130663366,0.47563316355055846,0.9063846834512421,0.4756331635505584,0.14234898944764107,0.3967350746268657,0.6032649253731344,-0.07553570784223151,-0.11707804521661047,0.6222867694210326,0.08194983968430139,1.0568222648831218,0.09361531654875789,0.4861868801565238,0.19271865399381843,-0.048733672898883196,0.5521951182306708,0.5,0.8576510105523589,0.5138131198434762,0.6204031048829269,0.552231006988074,5.67852783203125,1.021702766418457,1730551402.0036159,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.2352395057678223,0.003101825714111328,1.0013580322265625e-05,2.384185791015625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.21494554001474833,0.995560674777434,0.4996945901179267,0.8630178898653444,0.4996945901179267,0.137592929898802,0.4988876997631101,0.5011123002368899,-0.0008874308355200089,-0.0012893058379211952,0.9948560449618737,0.12041399566964708,1.000708273140751,0.1369821101346555,0.4998229943989687,0.2614166976950311,-0.000610819764146564,0.5005561508065277,0.5,0.862407070101198,0.5001770056010313,0.5582691367942305,0.5296742354024293,5.444940805435181,1.1376588344573975,1730551409.623947,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.0219616889953613,0.00299835205078125,8.106231689453125e-06,2.6226043701171875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.13690752850889046,0.6051986111553533,0.47271882827873724,0.9163603386263883,0.47271882827873724,0.1382020048161371,0.377024130814415,0.622975869185585,-0.08687328436343392,-0.13831824404756055,0.569163600602304,0.0734840221856072,1.063312219043727,0.08363966137361162,0.48465762513802446,0.17757863224779585,-0.05456234344252553,0.5624470565691012,0.5,0.8617979951838629,0.5153423748619755,0.5403170634178566,0.49885772880346246,5.444940805435181,1.1376588344573975,1730551409.623947,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.0219616889953613,0.00299835205078125,8.106231689453125e-06,2.6226043701171875e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.22727968040485208,0.9593059756863194,0.49686115681559295,0.8520121283491908,0.49686115681559295,0.15426555801962327,0.489615194150718,0.5103848058492819,-0.008763499476187542,-0.012233634902606205,0.9522377405676994,0.12820955335851172,1.007422763053275,0.1479878716508092,0.4981511709466757,0.2691785847913286,-0.006277686368814095,0.5051929630159535,0.5,0.8457344419803767,0.5018488290533243,0.5006267118777392,0.5028009832346597,5.624635934829712,1.1547589302062988,1730551417.558586,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.1350431442260742,0.0030825138092041016,9.059906005859375e-06,2.1457672119140625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.15056140103100063,0.6136245898808496,0.47044943276117857,0.9061381535793056,0.47044943276117857,0.15296298089833726,0.3802771683878217,0.6197228316121783,-0.08984392996470862,-0.13657828775785963,0.5736020952291413,0.08140924554885662,1.0697739687225518,0.09386184642069442,0.4831445438543186,0.18892728012786897,-0.05910113447764287,0.5607449583218922,0.5,0.8470370191016627,0.5168554561456814,0.47345681088032265,0.4739982083977157,5.624635934829712,1.1547589302062988,1730551417.558586,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.1350431442260742,0.0030825138092041016,9.059906005859375e-06,2.1457672119140625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.2691399424350824,0.8861182359755088,0.4878815559945632,0.8114118741160998,0.4878815559945632,0.21282501389477393,0.46981054478655443,0.5301894552134456,-0.03025609982932248,-0.03777017810501193,0.8596498675243732,0.15549491783508212,1.030789708055629,0.18858812588390023,0.4924192771084337,0.2976586806424272,-0.024236888010873647,0.5151085101241889,0.5,0.7871749861052261,0.5075807228915663,0.639243289196497,0.5784170526219428,5.061230421066284,1.103548526763916,1730551424.8056996,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.0650279521942139,0.0030939579010009766,8.58306884765625e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.2056575695310541,0.6529506637442618,0.46305573776265335,0.8609835661426439,0.46305573776265335,0.21290495833204937,0.3950212659494621,0.6049787340505379,-0.09702087773619103,-0.12739529965745733,0.5969152607516314,0.11461444930403063,1.0938749713352462,0.13901643385735604,0.4775834343930806,0.23433831886849502,-0.0738885244746933,0.5530809402947167,0.5,0.7870950416679506,0.5224165656069194,0.6312211100351215,0.5551483246895341,5.061230421066284,1.103548526763916,1730551424.8056996,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.0650279521942139,0.0030939579010009766,8.58306884765625e-06,1.9073486328125e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000005282769016,1.0,True,0.3014685061380701,1.2966273421235253,0.5235215135123237,0.7943639495275777,0.5235215135123237,0.15859302344777493,0.5645789015664282,0.4354210984335718,0.06094621112749529,0.07895836823704205,1.3734149092490096,0.1774877340970728,0.944090044014833,0.2056360504724223,0.5143794666706138,0.3407312364579725,0.047043027024647355,0.46757475313730373,0.5,0.8414069765522251,0.48562053332938615,0.6591484671683647,0.6007511952546116,5.464137315750122,1.1882600784301758,1730551432.663084,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.1829321384429932,0.003230571746826172,9.775161743164062e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000005282769016,1.0,True,0.24049500123549958,0.9917653538969984,0.49934185328831227,0.841468085387382,0.4993418532883123,0.1598482080359933,0.49793282725626026,0.5020671727437398,-0.00179893645378848,-0.002458549368476337,0.9902139531540158,0.136683329347954,1.0015667328641866,0.15853191461261792,0.49960862337526346,0.2809595067859582,-0.0013162934233753587,0.5010335907886246,0.5,0.8401517919640067,0.5003913766247365,0.6437901845895245,0.5768429414360842,5.464137315750122,1.1882600784301758,1730551432.663084,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 8]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.006157636642456055,4.0531158447265625e-06,2.86102294921875e-06,1.1829321384429932,0.003230571746826172,9.775161743164062e-06,2.1457672119140625e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
