,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,false_omission_rate,precision,balanced_accuracy,fall_out,specificity,prevalence_threshold,matthews_correlation_coefficient,informedness,miss_rate,positive_likelyhood_ratio,recall,false_discovery_rate,prevalence,diagnostic_odds_ratio,f1_score,accuracy,markedness,fowlkes_mallows_index,threat_score,negative_predictive_value,negative_likelyhood_ratio,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.1902746034069287,0.5217832499520934,0.5407037692730524,0.8935867833894235,0.10641321661057651,0.48910320192868395,0.164278126730227,0.08140753854610483,0.025005678064471737,1.0911019948586542,0.9749943219355283,0.47821675004790665,0.5,4.643252329481631,0.6797746245526366,0.5407037692730524,0.33150864654516465,0.7132571107141922,0.5148928638962816,0.8097253965930713,0.2349865821271152,0.5087506342528232,0.5009256342937426,4309.893132448196,731.339174747467,1726849830.9810615,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,8.353184700012207,0.008698463439941406,1.430511474609375e-05,3.337860107421875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,0.17441594660083207,0.5225328983796816,0.5421487798959523,0.8931232651321903,0.10687673486780973,0.4887278246627382,0.17130501906585557,0.08429755979190467,0.022579175075905122,1.0943851348217066,0.9774208249240949,0.47746710162031836,0.5,5.180185259399829,0.6810003917445001,0.5421487798959523,0.3481169517788496,0.7146569362877875,0.5163006777880599,0.825584053399168,0.21126370583674856,0.5177826687823412,0.5078294863974907,4309.893132448196,731.339174747467,1726849830.9810615,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,8.353184700012207,0.008698463439941406,1.430511474609375e-05,3.337860107421875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.18974837739477524,0.5219835001447808,0.5410577697746456,0.8927737289458479,0.10722627105415208,0.4890029327569757,0.1651716269879354,0.08211553954929118,0.025110731504860984,1.0919779972090462,0.974889268495139,0.4780164998552192,0.5,4.662895969049769,0.6799189928280275,0.5410577697746456,0.33223512275000555,0.7133555303091703,0.5150585374185688,0.8102516226052248,0.23418450775164423,0.507521320100528,0.5010748209291396,3566.8372073173523,578.8545300960541,1726853982.203883,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,5.409777641296387,0.006170988082885742,1.8835067749023438e-05,3.5762786865234375e-06,4.76837158203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,0.1738219418315986,0.5226628603800695,0.542381082024846,0.8926527423488261,0.10734725765117394,0.48866274394210524,0.171954968422697,0.08476216404969206,0.022585093601481976,1.0949553617307648,0.977414906398518,0.4773371396199305,0.5,5.204337755081699,0.6811093158902479,0.5423810820248459,0.3488409185484709,0.7147436398852159,0.5164259055707828,0.8261780581684014,0.21039283252928995,0.5154127493319177,0.5072159204864739,3566.8372073173523,578.8545300960541,1726853982.203883,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,5.409777641296387,0.006170988082885742,1.8835067749023438e-05,3.5762786865234375e-06,4.76837158203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.19194665850908946,0.5215201615600055,0.5402299190718602,0.8944730793160873,0.10552692068391269,0.4892349314189173,0.16284173516619035,0.08045983814372049,0.025067082540192187,1.0899522188026496,0.9749329174598078,0.47847983843999453,0.5,4.588459832069472,0.6795364047856985,0.5402299190718602,0.32957350305091593,0.7130548174045291,0.5146195678915441,0.8080533414909106,0.23754206393718452,0.5137107721806847,0.5016573037464377,3772.060638189316,1239.0369901657104,1726858998.3841228,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,5.016704082489014,0.007950067520141602,1.71661376953125e-05,3.337860107421875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,0.17794699549093587,0.5221371462547598,0.5414267197755696,0.8942566627801682,0.1057433372198318,0.4889259973596429,0.1688707726351956,0.08285343955113911,0.02288989766869276,1.092650625932777,0.9771101023313072,0.4778628537452402,0.5,5.047664488229599,0.6805888500233949,0.5414267197755696,0.34419015076382387,0.7142726933097506,0.515827723629183,0.8220530045090642,0.21646657151652518,0.5239100979410315,0.5090675032290962,3772.060638189316,1239.0369901657104,1726858998.3841228,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,5.016704082489014,0.007950067520141602,1.71661376953125e-05,3.337860107421875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.18816719541381421,0.5222002000225064,0.5414495007372236,0.8920894019573972,0.10791059804260288,0.48889442391779464,0.16640613733143983,0.08289900147444729,0.02501159656815566,1.0929267865894972,0.9749884034318443,0.47779979997749356,0.5,4.7153480521035585,0.6801269233776358,0.5414495007372236,0.33403300460869234,0.7135398652435149,0.5152972171522144,0.8118328045861858,0.2317807242462055,0.5032152009201687,0.4940412270090905,1849.0643944740295,416.33634543418884,1726861269.5795858,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,5.707601070404053,0.005851268768310547,1.4543533325195312e-05,2.86102294921875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,0.17338874506063495,0.5227631724727371,0.5425601174235475,0.8922857937630577,0.10771420623694225,0.48861251013824936,0.17244950945389048,0.08512023484709497,0.02259397138984731,1.0953957077901189,0.9774060286101527,0.47723682752726293,0.5,5.222175293759348,0.6811923294270994,0.5425601174235475,0.34937442741210223,0.7148089788959161,0.5165213583654575,0.826611254939365,0.20975850984917122,0.5142813456540908,0.5022516205456016,1849.0643944740295,416.33634543418884,1726861269.5795858,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,5.707601070404053,0.005851268768310547,1.4543533325195312e-05,2.86102294921875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.1884348910423808,0.5220702262378915,0.5412205286259528,0.8926287256055924,0.1073712743944076,0.48895950649108666,0.16584706741486813,0.08244105725190565,0.024930217142501987,1.0923576117225833,0.975069782857498,0.47792977376210855,0.5,4.704645298300611,0.6800364682548692,0.5412205286259528,0.3336353351955106,0.7134808351554691,0.5151933761047089,0.8115651089576192,0.23218702844976633,0.5079556325819373,0.4983419414945016,1350.1435866355896,404.08997416496277,1726863025.3370993,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,1.4835610389709473,0.0029740333557128906,9.298324584960938e-06,1.6689300537109375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,0.1772999405877245,0.5223420379001459,0.5417907090985494,0.8934576618272856,0.10654233817271441,0.4888233992758735,0.16982081094810944,0.08358141819709886,0.022960919975615668,1.0935482695689904,0.9770390800243843,0.4776579620998541,0.5,5.074238735570611,0.6807456464097055,0.5417907090985493,0.3450420973124215,0.7143868588993086,0.5160078832084846,0.8227000594122755,0.21550981862622554,0.5155910079637637,0.5040824864462055,1350.1435866355896,404.08997416496277,1726863025.3370993,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0056989192962646484,5.245208740234375e-06,3.814697265625e-06,1.4835610389709473,0.0029740333557128906,9.298324584960938e-06,1.6689300537109375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
