,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,diagnostic_odds_ratio,false_discovery_rate,balanced_accuracy,false_omission_rate,negative_predictive_value,matthews_correlation_coefficient,prevalence,f1_score,specificity,miss_rate,informedness,negative_likelyhood_ratio,prevalence_threshold,precision,positive_likelyhood_ratio,fall_out,accuracy,recall,markedness,fowlkes_mallows_index,threat_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000008684701898,1.0,True,1.3578927370390332,0.447293937823379,0.5325670539677646,0.47643655003349994,0.5235634499665001,0.07048224341009723,0.5,0.42217310611092995,0.723617261260518,0.6584831533249889,0.0651341079355292,0.9099881782503811,0.473573352488993,0.552706062176621,1.2356663380375736,0.27638273873948205,0.5325670539677646,0.3415168466750112,0.07626951214312117,0.43446338337392976,0.2675661745569226,0.5622698246107859,0.5655027671619199,186.825847864151,275.6629800796509,1727014864.1228826,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.1414461135864258,0.0031890869140625,1.0967254638671875e-05,3.5762786865234375e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000008684701898,1.0,True,1.1028441192188623,0.4825543120473996,0.5100113335851908,0.4929801324503311,0.5070198675496689,0.022132909319843908,0.5,0.3773403744599136,0.7230827351718927,0.7030600680015111,0.02002266717038159,0.9723092998955067,0.491274499591218,0.5174456879526004,1.0723055934515688,0.2769172648281073,0.5100113335851908,0.29693993199848884,0.024465555502269254,0.39198250904033516,0.23254437869822486,0.535457338308373,0.525217343800058,186.825847864151,275.6629800796509,1727014864.1228826,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.1414461135864258,0.0031890869140625,1.0967254638671875e-05,3.5762786865234375e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000008684701898,1.0,True,1.3409692699868845,0.4490608595873823,0.530939759716271,0.47778294867327553,0.5222170513267245,0.06728201831355393,0.5,0.41636916460340034,0.727246377126257,0.6653668576937148,0.06187951943254211,0.9149125779394578,0.4744639962414703,0.5509391404126177,1.2268696517412934,0.27275362287374305,0.530939759716271,0.3346331423062852,0.07315619173934218,0.4293745402044676,0.26292059695789277,0.5531364011498543,0.5620736054760793,187.2099485397339,276.1798355579376,1727015328.6444402,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.0965235233306885,0.0029664039611816406,2.47955322265625e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000008684701898,1.0,True,1.086408140443862,0.4851306120878698,0.508391629647964,0.4941547973007716,0.5058452026992284,0.01864559855406714,0.5,0.3714878946521066,0.7262135838012237,0.7094303245052955,0.016783259295928055,0.9768893619311285,0.49256366151550307,0.5148693879121302,1.061300555114988,0.2737864161987763,0.508391629647964,0.29056967549470447,0.020714590611358608,0.38678861276902243,0.228114911416484,0.5259314706798762,0.5212776253205157,187.2099485397339,276.1798355579376,1727015328.6444402,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.0965235233306885,0.0029664039611816406,2.47955322265625e-05,2.1457672119140625e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000008684701898,1.0,True,1.3325159629399375,0.4501528177447318,0.5302759235356251,0.47825981890068225,0.5217401810993177,0.06583879614695973,0.5,0.41553884068561736,0.7265885116716839,0.6660366646004336,0.060551847071250275,0.9166628069415289,0.4750141705105302,0.5498471822552682,1.2214678228829174,0.2734114883283161,0.5302759235356251,0.3339633353995664,0.07158736335458604,0.42851930988699055,0.262258773743262,0.5555892854211327,0.5633498446102156,186.01679706573486,275.6840431690216,1727015791.413041,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.03694486618042,0.0030317306518554688,8.821487426757812e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000008684701898,1.0,True,1.0812732831787293,0.4859575520169359,0.5078922571204009,0.4945115340828449,0.5054884659171551,0.017558074740525592,0.5,0.36991198661173474,0.7268779663813729,0.7110934521405712,0.01578451424080174,0.9782845058306252,0.4929773909445902,0.5140424479830641,1.0577928995023609,0.2731220336186271,0.5078922571204009,0.2889065478594288,0.019530913900219105,0.3853702493706501,0.22692761591617608,0.5291776457905945,0.5242302155293699,186.01679706573486,275.6840431690216,1727015791.413041,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.03694486618042,0.0030317306518554688,8.821487426757812e-06,1.6689300537109375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000008684701898,1.0,True,1.3590863298610982,0.4468663106167817,0.532443839893352,0.4766488990150439,0.5233511009849561,0.07044799916224223,0.5,0.4194040423852594,0.7271399896435042,0.6622523098568003,0.06488767978670396,0.91076315329801,0.4733577255766949,0.5531336893832183,1.2378057513885132,0.27286001035649576,0.532443839893352,0.3377476901431997,0.07648479036817424,0.4322263595959507,0.26534551120716343,0.561171587504657,0.5659269193284517,186.1838812828064,276.0263090133667,1727016254.757067,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.1099493503570557,0.0029230117797851562,7.867813110351562e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000008684701898,1.0,True,1.10685912038779,0.4818011487544921,0.5102914164376067,0.4928257908279098,0.5071742091720902,0.022852777995423484,0.5,0.37437346921227016,0.7275423489615223,0.7069595160863089,0.02058283287521334,0.9717090930794712,0.490897558666054,0.5181988512455079,1.0755450720387607,0.27245765103847774,0.5102914164376067,0.2930404839136911,0.025373060417598126,0.3896835153461106,0.23029488146386243,0.5351796639458285,0.5257654634373832,186.1838812828064,276.0263090133667,1727016254.757067,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.1099493503570557,0.0029230117797851562,7.867813110351562e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000008684701898,1.0,True,1.339881752670433,0.44949395176226137,0.5310846855218577,0.4775486521664131,0.5224513478335868,0.06734772027872621,0.5,0.41946693206048236,0.7233523781401948,0.6611830070964793,0.06216937104371545,0.9140538236653639,0.4746822281808579,0.5505060482377386,1.2247240392878587,0.2766476218598052,0.5310846855218577,0.3388169929035207,0.07295739607132545,0.43188054348293015,0.26539585951676786,0.5539611107077591,0.5632053069409794,185.72769618034363,275.9558107852936,1727016717.5368154,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.0762217044830322,0.0030164718627929688,8.344650268554688e-06,1.9073486328125e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000008684701898,1.0,True,1.0758062198932508,0.4869475237957559,0.5074493354003013,0.49478804303244445,0.5052119569675555,0.016495932140568798,0.5,0.37283534225367687,0.7220883324865712,0.7071896616859685,0.014898670800602698,0.9793672461798436,0.4934726496623818,0.5130524762042441,1.0536093750000002,0.2779116675134288,0.5074493354003013,0.2928103383140315,0.0182644331717996,0.38759136875092604,0.22913190775054454,0.5257423524600556,0.5209037494184265,185.72769618034363,275.9558107852936,1727016717.5368154,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 4]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.005612611770629883,4.76837158203125e-06,3.0994415283203125e-06,1.0762217044830322,0.0030164718627929688,8.344650268554688e-06,1.9073486328125e-06,2.384185791015625e-06,,Concatenate,1.0,4096,False,True,42,1000,gini,10,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
