,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,accuracy,balanced_accuracy,false_omission_rate,informedness,matthews_correlation_coefficient,f1_score,threat_score,precision,positive_likelyhood_ratio,fowlkes_mallows_index,specificity,recall,markedness,miss_rate,fall_out,false_discovery_rate,negative_likelyhood_ratio,diagnostic_odds_ratio,prevalence,prevalence_threshold,negative_predictive_value,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005918508063,1.0,True,0.48057325147056323,0.4805732514705632,0.5442079637972485,-0.03885349705887364,-0.04691806345231703,0.5942865992255043,0.422765123316086,0.4875514246244663,0.9514153186340264,0.6090608193115417,0.20029326185753718,0.7608532410835892,-0.05665653917278213,0.2391467589164108,0.7997067381424628,0.5124485753755337,1.1939830461521417,0.7968415646270354,0.5,0.5062252525462011,0.45579203620275155,0.6766533738659343,0.6904441789779,11.898200511932373,4.211673974990845,1726877152.8109324,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,5.201162576675415,0.004135608673095703,1.3828277587890625e-05,2.6226043701171875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005918508063,1.0,True,0.4896677339741124,0.48966773397411234,0.5244693003665314,-0.02066453205177532,-0.025317455287830054,0.6040476329876693,0.43271364214272906,0.4934512477609701,0.9741436447722618,0.6198159689931766,0.2007948579849788,0.7785406099632459,-0.03101805260556123,0.22145939003675408,0.7992051420150212,0.50654875223903,1.1029136515703066,0.883245613457858,0.5,0.5032745165569641,0.4755306996334686,0.7004567297351872,0.7162516386554351,11.898200511932373,4.211673974990845,1726877152.8109324,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,5.201162576675415,0.004135608673095703,1.3828277587890625e-05,2.6226043701171875e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005918508063,1.0,True,0.4805784301612866,0.48057843016128665,0.5442080871902302,-0.0388431396774267,-0.04691009585203157,0.5943093985382741,0.42278819956558983,0.4875556870206934,0.9514315500665569,0.6090892427057315,0.2002392555114216,0.7609176048111517,-0.056652400169536765,0.23908239518884833,0.7997607444885784,0.5124443129793066,1.1939836401120214,0.7968547625805762,0.5,0.5062231203571206,0.45579191280976983,0.6772101501824884,0.6919137024244456,8.266184091567993,4.965733051300049,1726877173.4211586,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,7.357561349868774,0.0037996768951416016,1.049041748046875e-05,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005918508063,1.0,True,0.4888065885026722,0.4888065885026722,0.5265847161602744,-0.022386822994655553,-0.027456338788759416,0.6035651789761155,0.4322186541678855,0.49291086525864797,0.9720398870507532,0.6193740573385208,0.19933002290469398,0.7782831541006504,-0.033673850901626334,0.2217168458993496,0.8006699770953061,0.507089134741352,1.1123103417559905,0.8738926993308413,0.5,0.50354474552376,0.47341528383972564,0.6981964566273748,0.7097470334047732,8.266184091567993,4.965733051300049,1726877173.4211586,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,7.357561349868774,0.0037996768951416016,1.049041748046875e-05,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005918508063,1.0,True,0.480351307582417,0.480351307582417,0.544734865200826,-0.03929738483516598,-0.047462412046327423,0.5941472493204302,0.4226240970352177,0.4874109346974529,0.9508804765660905,0.6089271692908109,0.1999640450901203,0.7607385700747137,-0.057323930503373144,0.23926142992528632,0.8000359549098797,0.5125890653025471,1.1965222538754672,0.7947035447825922,0.5,0.506295530553874,0.45526513479917396,0.6769202667000548,0.6915862220245008,12.311040163040161,4.216639757156372,1726877196.2897406,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,6.314121961593628,0.004228115081787109,1.4066696166992188e-05,3.0994415283203125e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005918508063,1.0,True,0.4896529376601701,0.4896529376601701,0.5245594195365564,-0.02069412467965981,-0.02537457488028655,0.6041815613319761,0.43285111057031417,0.49344580345845634,0.9741224272297342,0.6199951075274837,0.20030657962488385,0.7789992956954563,-0.031113616078100037,0.22100070430454366,0.7996934203751161,0.5065541965415437,1.1033122562344877,0.8829072837043725,0.5,0.5032772390587913,0.4754405804634436,0.6995729035823198,0.711287690742772,12.311040163040161,4.216639757156372,1726877196.2897406,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,6.314121961593628,0.004228115081787109,1.4066696166992188e-05,3.0994415283203125e-06,5.0067901611328125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005918508063,1.0,True,0.48063613557220464,0.48063613557220464,0.5440905461540794,-0.038727728855590726,-0.04677598092572574,0.594376266273227,0.42285588384121764,0.4875937554508983,0.9515765286583548,0.6091636537395404,0.2002281583170143,0.7610441128273949,-0.05649679070318103,0.23895588717260507,0.7997718416829858,0.5124062445491018,1.1934179946572476,0.7973539304069651,0.5,0.5062040773215349,0.45590945384592063,0.6774436094544607,0.6917671239232556,7.71012020111084,4.483732461929321,1726877215.8317587,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,7.322439908981323,0.004137992858886719,1.0967254638671875e-05,2.6226043701171875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005918508063,1.0,True,0.4888435792875279,0.4888435792875279,0.526428691604509,-0.022312841424944163,-0.027339782863570805,0.6034268606549285,0.43207680547107463,0.49292942932805195,0.9721120842703279,0.6191843279563606,0.199910038411231,0.7777771201638248,-0.033499262276457054,0.22222287983617517,0.800089961588769,0.507070570671948,1.1116144121739642,0.8745047505898974,0.5,0.5035354620930584,0.473571308395491,0.6972279612409001,0.7102756471222997,7.71012020111084,4.483732461929321,1726877215.8317587,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,7.322439908981323,0.004137992858886719,1.0967254638671875e-05,2.6226043701171875e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005918508063,1.0,True,0.48076745237269114,0.48076745237269114,0.5437898478097917,-0.03846509525461772,-0.04645812105866051,0.5944761302750841,0.42295697930155596,0.48767775454669127,0.9518965043479386,0.6092652749404972,0.2003679829665464,0.7611669217788358,-0.056112093263100404,0.23883307822116417,0.7996320170334537,0.5123222454533087,1.191972263657712,0.7985894750830261,0.5,0.506162058501755,0.45621015219020833,0.6773679121321,0.692101537556829,7.889640808105469,5.12868857383728,1726877235.4658134,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,6.587817907333374,0.003695964813232422,1.3113021850585938e-05,3.0994415283203125e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005918508063,1.0,True,0.48864382904930725,0.48864382904930725,0.526864783506598,-0.02271234190138549,-0.027815230636687338,0.6031821485530835,0.4318259162626447,0.4928001741091447,0.9716095096120768,0.6189076007359711,0.20000177555767307,0.7772858825409414,-0.03406460939745337,0.22271411745905856,0.7999982244423269,0.5071998258908553,1.1135607013390543,0.8725249628904096,0.5,0.5036000995752395,0.47313521649340196,0.6975080456881245,0.7091831388060597,7.889640808105469,5.12868857383728,1726877235.4658134,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW1_directed,85064,1689615,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85064, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,7e200ffa250a,0.11.95,5,,0.006282329559326172,3.337860107421875e-06,2.86102294921875e-06,6.587817907333374,0.003695964813232422,1.3113021850585938e-05,3.0994415283203125e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
