,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,recall,prevalence_threshold,accuracy,precision,false_discovery_rate,f1_score,negative_predictive_value,specificity,fowlkes_mallows_index,threat_score,prevalence,matthews_correlation_coefficient,fall_out,positive_likelyhood_ratio,balanced_accuracy,false_omission_rate,markedness,negative_likelyhood_ratio,miss_rate,informedness,diagnostic_odds_ratio,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000008684701898,1.0,True,0.9628208315375922,0.49953884607437127,0.5017727628503595,0.5009223070666907,0.4990776929333093,0.6589932611886596,0.5227557760374572,0.04072469416312675,0.6944770926572599,0.49141681552829997,0.5,0.00916249159287559,0.9592753058368733,1.0036960460455362,0.5017727628503595,0.47724422396254285,0.023678083104147873,0.912939169376766,0.03717916846240776,0.0035455257007190877,1.099411745834859,0.9448028302862164,0.945511661473246,8.939151048660278,3.210322618484497,1725805915.0811813,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,4.418254375457764,0.0055141448974609375,1.9073486328125e-05,5.7220458984375e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000008684701898,1.0,True,0.9794823026718601,0.49736000023590843,0.510234965630143,0.5052798523343802,0.4947201476656198,0.6666558298101235,0.6664077944083593,0.04098762858842585,0.7035003008230886,0.499987808635476,0.5,0.05928266464206997,0.9590123714115741,1.0213448041657234,0.5102349656301429,0.33359220559164077,0.1716876467427395,0.5005826888441584,0.020517697328139906,0.020469931260285845,2.0403118743958184,0.9703180515744746,0.970586503359493,8.939151048660278,3.210322618484497,1725805915.0811813,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,4.418254375457764,0.0055141448974609375,1.9073486328125e-05,5.7220458984375e-06,5.245208740234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000008684701898,1.0,True,0.9627350701994548,0.4995311652117279,0.5018020736874444,0.5009376687521323,0.4990623312478677,0.6589864644703027,0.5230638841803985,0.040869077175434046,0.6944568105300972,0.4914092565143308,0.5,0.009300813620056969,0.9591309228245659,1.003757722005537,0.5018020736874444,0.47693611581960155,0.024001552932530812,0.911812362206816,0.03726492980054519,0.0036041473748888997,1.1008380272188785,0.9449370791322564,0.9458813113340463,6.90703272819519,3.232503652572632,1725805930.4705071,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,5.220093011856079,0.0033850669860839844,1.0728836059570312e-05,1.6689300537109375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000008684701898,1.0,True,0.9796603398338609,0.4972868998618629,0.5105172196674613,0.5054260405138384,0.49457395948616156,0.6668243048525467,0.670419363917816,0.04137409950106171,0.7036660050127971,0.500177363928611,0.5,0.0608178385989059,0.9586259004989383,1.021942281471818,0.5105172196674613,0.3295806360821841,0.17584540443165442,0.4916036943744756,0.020339660166139084,0.02103443933492266,2.0787929243944223,0.9693766197328555,0.9682880110171204,6.90703272819519,3.232503652572632,1725805930.4705071,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,5.220093011856079,0.0033850669860839844,1.0728836059570312e-05,1.6689300537109375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000008684701898,1.0,True,0.9629011649429361,0.49954694685140333,0.5017418236334364,0.5009061055532495,0.49909389444675045,0.6589980556672063,0.5224226840141426,0.04058248232393686,0.694494832640426,0.4914221477844958,0.5,0.00901494725530326,0.9594175176760631,1.0036310023557953,0.5017418236334364,0.47757731598585745,0.02332878956739215,0.9141588422545018,0.037098835057063906,0.0034836472668728913,1.09787375668832,0.9452257694807892,0.9460668989534906,6.30902624130249,3.213000774383545,1725805945.6588345,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,5.64660120010376,0.009694576263427734,1.2874603271484375e-05,2.384185791015625e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000008684701898,1.0,True,0.9791609673062978,0.4974559021670059,0.5098636930118243,0.5050880639373528,0.49491193606264716,0.6664144720315165,0.6606322042288382,0.040566418717350804,0.7032513898029378,0.4997163346896081,0.5,0.05717716066802381,0.9594335812826492,1.0205614921225452,0.5098636930118243,0.3393677957711619,0.1657202681661909,0.5137015628345104,0.020839032693702242,0.019727386023648652,1.9866816960635185,0.9683916227907273,0.9676344313695788,6.30902624130249,3.213000774383545,1725805945.6588345,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,5.64660120010376,0.009694576263427734,1.2874603271484375e-05,2.384185791015625e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000008684701898,1.0,True,0.9627860927677138,0.4994789757250567,0.5020023644075249,0.5010420474183833,0.4989579525816167,0.6590887302999293,0.5255297651178563,0.041218636047335916,0.694547561471697,0.491523000211156,0.5,0.01031566300981071,0.9587813639526641,1.0041768947182492,0.5020023644075249,0.4744702348821437,0.026571812536239747,0.9028417919882015,0.037213907232286236,0.004004728815049763,1.1122401550629282,0.9450216602197906,0.9460368607901308,6.601330518722534,3.250936985015869,1725805961.5557995,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,6.0252087116241455,0.004075288772583008,9.298324584960938e-06,2.1457672119140625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000008684701898,1.0,True,0.9788352895709305,0.49745221738281775,0.5098745489363365,0.5050954329325404,0.49490456706745956,0.6663454389857089,0.6590654728595411,0.04091380830174259,0.7031395553910175,0.4996387059021713,0.5,0.056938825026114484,0.9590861916982574,1.0205915777368282,0.5098745489363365,0.34093452714045885,0.16416090579208165,0.5172999363192522,0.021164710429069533,0.019749097872673094,1.972920362215102,0.9681675199919251,0.966875514212325,6.601330518722534,3.250936985015869,1725805961.5557995,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,6.0252087116241455,0.004075288772583008,9.298324584960938e-06,2.1457672119140625e-06,3.5762786865234375e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000008684701898,1.0,True,0.9626829620446371,0.49947240845361596,0.502027332898375,0.5010551819178828,0.4989448180821172,0.6590759264778346,0.5257639511623095,0.041371703752112826,0.6945194645771433,0.49150875839424635,0.5,0.01042797303404358,0.9586282962478871,1.0042296537799063,0.502027332898375,0.47423604883769055,0.026819133080192348,0.9019942272369467,0.0373170379553629,0.004054665796749957,1.1133437703433362,0.9444823775780857,0.9444366587090781,5.945821762084961,3.19391131401062,1725805977.3324072,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,6.614526987075806,0.003339052200317383,9.059906005859375e-06,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000008684701898,1.0,True,0.9792521570722006,0.4973769215292165,0.5101676588981671,0.50524601255996,0.49475398744003996,0.6665730652589015,0.6644427277196432,0.04108316072413359,0.7033940912827382,0.49989470580802764,0.5,0.058742441726960457,0.9589168392758665,1.021206549894035,0.5101676588981671,0.33555727228035676,0.16968874027960323,0.5050206109290771,0.02074784292779941,0.02033531779633413,2.0221086581304872,0.970343167623147,0.9739666636735781,5.945821762084961,3.19391131401062,1725805977.3324072,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 64]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b02d464fd38e,0.11.95,5,,0.0027322769165039062,2.1457672119140625e-06,1.6689300537109375e-06,6.614526987075806,0.003339052200317383,9.059906005859375e-06,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
