,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,informedness,specificity,fall_out,precision,negative_predictive_value,negative_likelyhood_ratio,diagnostic_odds_ratio,f1_score,threat_score,miss_rate,markedness,prevalence,false_omission_rate,prevalence_threshold,accuracy,positive_likelyhood_ratio,matthews_correlation_coefficient,balanced_accuracy,false_discovery_rate,recall,fowlkes_mallows_index,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'n_estimators')","('model_parameters', 'criterion')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'bootstrap')","('model_parameters', 'oob_score')","('model_parameters', 'n_jobs')","('model_parameters', 'verbose')","('model_parameters', 'warm_start')","('model_parameters', 'ccp_alpha')","('model_parameters', 'max_samples')"
0,train,0.8000005282769016,1.0,True,-0.006000341178607038,0.056590525139910745,0.9434094748600893,0.4984048591524571,0.47482685381845047,1.106030844629417,0.8983833791752375,0.6507935840889685,0.4823528678890323,0.06259086631851773,-0.026768287029092397,0.5,0.5251731461815495,0.5007975724531845,0.4969998294106965,0.9936397276702177,-0.012673549421588062,0.4969998294106965,0.501595140847543,0.9374091336814823,0.6835270786448375,0.9079850386430465,0.9090920919980885,17.09826421737671,6.156328916549683,1725560552.8099344,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,7.740556955337524,0.0033376216888427734,2.3126602172851562e-05,3.814697265625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
1,test,0.8000005282769016,1.0,True,0.0017961462098234904,0.055949073972168535,0.9440509260278315,0.5004751966009466,0.5081567373050779,0.9678967660712872,1.0351337350609402,0.6545885514335462,0.4865341023602968,0.05415292776234515,0.00863193390602457,0.5,0.491843262694922,0.49976240164590024,0.5008980731049116,1.0019025946167766,0.003937539252979211,0.5008980731049117,0.49952480339905336,0.9458470722376549,0.6880210748462362,0.9196987581291042,0.9203784936381841,17.09826421737671,6.156328916549683,1725560552.8099344,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,7.740556955337524,0.0033376216888427734,2.3126602172851562e-05,3.814697265625e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
2,train,0.8000005282769016,1.0,True,-0.005964022165603766,0.058664010609554104,0.9413359893904459,0.49841104148768034,0.4758134345012274,1.1016640714406323,0.901966693875499,0.6503072131975423,0.48181869204337824,0.06462803277515783,-0.025775524011092288,0.5,0.5241865654987726,0.5007944812620646,0.4970179889171982,0.9936643002787287,-0.012398620751204764,0.4970179889171981,0.5015889585123197,0.9353719672248422,0.6827881928994628,0.9051540295364863,0.9065270196141714,7.360816240310669,5.379378080368042,1725560571.6360786,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,6.05590558052063,0.0038759708404541016,1.3113021850585938e-05,2.86102294921875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
3,test,0.8000005282769016,1.0,True,0.0034470158879698065,0.05829991239384908,0.9417000876061509,0.500913432710457,0.5152316850173131,0.9408744242241188,1.0667315340837673,0.6547953812088643,0.48676266202333907,0.05485289650587932,0.016145117727770053,0.5,0.48476831498268685,0.49954328326371855,0.5017235079439849,1.0036604179327755,0.007460058801428152,0.5017235079439849,0.49908656728954304,0.9451471034941207,0.6880674967091422,0.9183977405610906,0.9185093471971745,7.360816240310669,5.379378080368042,1725560571.6360786,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,6.05590558052063,0.0038759708404541016,1.3113021850585938e-05,2.86102294921875e-06,4.5299530029296875e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
4,train,0.8000005282769016,1.0,True,-0.005453354831254198,0.05938268683655894,0.9406173131634411,0.49854637773760635,0.47804938555999543,1.0918340870338794,0.9105800761274615,0.6503721041662043,0.48188993882969977,0.0648360416678131,-0.023404236702398218,0.5,0.5219506144400046,0.5007268126669657,0.4972733225843729,0.9942023660898673,-0.011297415956440626,0.4972733225843729,0.5014536222623937,0.9351639583321869,0.6828049531288373,0.9048748955616419,0.9062109891158721,7.140772819519043,5.8145177364349365,1725560589.3657992,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,4.7427427768707275,0.00410008430480957,1.4066696166992188e-05,2.86102294921875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
5,test,0.8000005282769016,1.0,True,0.002993577016372262,0.05903069737137524,0.9409693026286248,0.5007940808280862,0.513007881245696,0.9492877917816384,1.0567726505454151,0.6544090605977834,0.4863358108583184,0.05603712035500297,0.013801962073782148,0.5,0.4869921187543041,0.49960295933559395,0.5014967885081861,1.003181375851486,0.006427848508242545,0.5014967885081861,0.4992059191719138,0.943962879644997,0.6875543779568636,0.9166663981720286,0.9170631620542828,7.140772819519043,5.8145177364349365,1725560589.3657992,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,4.7427427768707275,0.00410008430480957,1.4066696166992188e-05,2.86102294921875e-06,4.0531158447265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
6,train,0.8000005282769016,1.0,True,-0.006212752375868713,0.05768009553000996,0.94231990446999,0.4983462886263913,0.4744484578546663,1.1077105077372198,0.8968109930669083,0.6504296504296504,0.4819531272576652,0.06389284790587868,-0.02720525351894243,0.5,0.5255515421453337,0.5008268579480707,0.49689362381206564,0.9934069604744653,-0.013000750110509787,0.49689362381206564,0.5016537113736087,0.9361071520941213,0.6830120972594308,0.9059199452671755,0.9066430933175548,8.136326551437378,4.761006832122803,1725560606.6066577,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,4.315708875656128,0.004173755645751953,9.298324584960938e-06,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
7,test,0.8000005282769016,1.0,True,0.003979696504118335,0.05815903818131392,0.941840961818686,0.50105413397763,0.5177129869111999,0.9315721747028985,1.0779899524151881,0.6550772096880665,0.4870742130380077,0.054179341677195514,0.018767120888830036,0.5,0.48228701308880007,0.4994729324254999,0.5019898482520592,1.0042254442792908,0.00864218984943306,0.5019898482520592,0.49894586602237,0.9458206583228045,0.688409290214829,0.9205899073292312,0.9234459947152053,8.136326551437378,4.761006832122803,1725560606.6066577,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,4.315708875656128,0.004173755645751953,9.298324584960938e-06,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
8,train,0.8000005282769016,1.0,True,-0.005922200271842315,0.05613928891774844,0.9438607110822516,0.498426452672808,0.474948556318029,1.1054911878295988,0.8988995732370907,0.6509395267269212,0.48251323022430376,0.06206148918959076,-0.026624991009162935,0.5,0.525051443681971,0.5007867756116973,0.49703889986407884,0.9937255569573907,-0.012557011148846858,0.49703889986407884,0.5015735473271921,0.9379385108104092,0.683734864379789,0.9087401529119252,0.9100440868161633,7.377198934555054,5.443669557571411,1725560623.5492258,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,4.096491098403931,0.004208087921142578,9.775161743164062e-06,2.1457672119140625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
9,test,0.8000005282769016,1.0,True,0.002359643059963945,0.05536356552631926,0.9446364344736807,0.5006237054620774,0.5108872278193045,0.9573791348600518,1.0471274141040858,0.6549906141954774,0.486978471011704,0.053003922466355324,0.011510933281381863,0.5,0.4891127721806955,0.4996881471476409,0.501179821529982,1.0024979378032128,0.0052116881939656134,0.501179821529982,0.49937629453792265,0.9469960775336447,0.6885409830888397,0.9213987630479442,0.9211956580078138,7.377198934555054,5.443669557571411,1725560623.5492258,Edge Prediction,Random Forest Classifier,scikit-learn,VIEW5_directed,85299,1135768,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],2,3.10.12,Linux-6.1.85+-x86_64-with-glibc2.35,b8c55b3a4477,0.11.95,5,,0.004103660583496094,3.5762786865234375e-06,3.337860107421875e-06,4.096491098403931,0.004208087921142578,9.775161743164062e-06,2.1457672119140625e-06,3.814697265625e-06,,Concatenate,1.0,4096,False,True,42,1,gini,1,2,1,0.0,sqrt,,0.0,True,False,-1,False,False,0.0,
